									Percentile	Global Written	Global Read	Temp Written	Temp Read
									20	43	28	0	0
									50	"26,434"	"12,310"	"3,621"	"5,270"
									90	"5,189,312"	"3,664,867"	"2,335,200"	"3,109,876"
									99	"109,872,552"	"104,301,900"	"48,835,649"	"57,291,349"
									99.9	"723,635,551"	"719,054,918"	"272,325,283"	"355,459,219"
									99.99	"2,870,992,194"	"2,870,710,332"	"2,095,380,984"	"2,121,207,419"
													
													
									Max	"4,744,884,684"	"4,743,848,299"	" 2,876,545,372 "	" 2,578,337,402 "
													
													
													
													
													
													
VC	Job	Total Read	Total Temp Read	Total Global Read	Total Written	Total Temp Written	Total Global Written						
adcenter.bicore	ARC_Scope	143291.5181	0.839041	143290.679	143291.5181	0.804768	143290.7133						
adcenter.bicore	AdCalls_20140212	1506886.691	445798.9446	1061087.746	1506886.691	437329.7889	1069556.902						
adcenter.bicore	AdCalls_20140213	1542127.495	450701.5293	1091425.966	1542127.495	450029.515	1092097.98						
adcenter.bicore	AdInsightAnalysisScript_2014-02-12_2014-02-12	1951.971924	0.119571	1951.852353	1951.971924	0.119571	1951.852353						
adcenter.bicore	AdInsightAnalysisScript_2014-02-13_2014-02-13	4112.611811	0.179913	4112.431898	4112.611811	0.179913	4112.431898						
adcenter.bicore	AdInteractivemetrics_-_2014-02-12_Job	222.968459	82.066832	140.901627	222.968459	30.586894	192.381565						
adcenter.bicore	AdInteractivemetrics_-_2014-02-13_Job	179.122415	81.880685	97.24173	179.122415	30.444363	148.678052						
adcenter.bicore	AdMetrix_Agg_-_2014-02-12-23_Job	2.245306	1.462606	0.7827	2.245306	1.462606	0.7827						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-00_Job	2.384349	1.553417	0.830932	2.384349	1.552432	0.831917						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-01_Job	2.172525	1.41956	0.752965	2.172525	1.41956	0.752965						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-02_Job	1.825754	1.19268	0.633074	1.825754	1.19268	0.633074						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-03_Job	1.619424	1.058307	0.561117	1.619424	1.058307	0.561117						
adcenter.bicore	AdMetrix_Agg_-_2014-02-13-04_Job	1.806386	1.178864	0.627522	1.806386	1.178864	0.627522						
